变量名称,翻译变量,去重变量
api_secret,API密钥,api_密钥
api_key,API密钥,api_key
azure_voice,Azure语音,azure_语音
AzureVoice,Azure语音,Azure_语音
link_ai_bot,LinkAI机器人,link_ai_机器人
LinkAIBot,LinkAI机器人,LinkAI_机器人
open_ai_session,OpenAI会话,开放AI会话
OpenAISession,OpenAI会话,开放AI会话大写
mp3_file,mp3文件,MP3文件__
mp3File,mp3文件,MP3文件_
wavFile,wav文件,wav文件
wav_file,wav文件,wav文件_
econtext,上下文,e上下文
Context,上下文,上下文大写
context,上下文,上下文_
tmp_dir,临时目录,临时目录_
TmpDir,临时目录,临时目录大写
qrCode,二维码,QR_编码
qr,二维码,qr_码
qrcode,二维码,二维码_
proxies,代理,代理_
proxy,代理,Proxy_
tokens,令牌,令牌们
token,令牌,令牌
task,任务,task
tasks,任务,任务列
sessions,会话,会话列
session,会话,会话
conversation_id,会话ID,会话ID_
session_id,会话ID,会话_id
SessionManager,会话管理器,会话管理器大写
session_manager,会话管理器,会话管理器_
info,信息,信息__
INFO,信息,信息_
gconf,全局配置,全局配置_
global_config,全局配置,全局配置__
kw,关键词,关键字_
keywords,关键词,关键词_
ky,关键词,Ky_
FUNCTION,功能,功能_
fun,功能,功能_
pkgmgr,包管理器,pkg_管理器
package_manager,包管理器,包管理器
args,参数,参数集
params,参数,参数
parameters,参数,参数列
sender_id,发送者ID,发送者_id
from_user_id,发送者ID,发送者id
COMMANDS,命令,命令_常量
cmd,命令,命令
Reply,回复,回复大写
reply,回复,回复_
PICTURE,图片,图片_
IMAGE,图片,图像_
img,图片,影像_
image,图片,图象_
picDir,图片目录,图片目录__
imageDir,图片目录,图片目录_
block,块,块__
BLOCK,块,块_
base_url,基础网址,基础网址_
BASE_URL,基础网址,基础网址
handlers,处理器,处理器_列表
handler,处理器,处理器_
media_id,媒体ID,MediaID_
mediaId,媒体ID,媒体ID_
instance,实例,实例
instances,实例,实例列
secret,密钥,密钥
secret_key,密钥,密钥_键
app_id,应用ID,应用ID
appid,应用ID,APP_ID
app_key,应用密钥,应用密钥
appkey,应用密钥,APP_KEY
exc,异常,异常_
exception,异常,异常_
now_time,当前时间,当前时间__
current_time,当前时间,当前时间_
curdir,当前目录,当前目录_
current_dir,当前目录,当前目录__
wechatmp_client,微信公众号客户端,微信公众号客户端
WechatComAppClient,微信公众号客户端_类,微信企业应用客户端
WechatMPClient,微信公众号客户端_类,微信公众号客户端大写
wechatmp_msg,微信公众号消息,微信公众号消息
wechatcom_msg,微信公众号消息,微信企业号消息
wechatmp_message,微信公众号消息,微信公众号消息重
WeChatMPMessage,微信公众号消息,微信公众号消息大写
member_list,成员列表,成员列表__
memberList,成员列表,成员列表_
SortedDict,排序字典,排序字典大写
sorted_dict,排序字典,排序字典_
receiver_id,接收者ID,接收者_id
to_user_id,接收者ID,至用户_id
plugins,插件,插件集合
plugin,插件,插件
plugin_conf,插件配置,插件设置
plugin_config,插件配置,插件配置
pconf,插件配置,插件配置_
change_conf,改变配置,变更设置
change_configs,改变配置,更改配置项
change_config,改变配置,修改配置
file,文件,文件__
file_,文件,文件___
FILE,文件,文件_
file_name,文件名,文件名_
filename,文件名,文件名
fileName,文件名,文件名称
fileSize,文件大小,FileSize_
file_size,文件大小,文件大小__
f_size,文件大小,文件大小_
fileType,文件类型,FileType_
file_type,文件类型,文件类型_
textToVoice,文字转语音_函数,文本转语音
fetch_text_to_voice,文字转语音_函数,文本转语音_获取
text,文本,文本内容
TEXT,文本,文本信息
TEXT_,文本,文本_
is_running,是否正在运行,是否运行中
isrunning,是否正在运行,IsRunning_
nick_name,昵称,昵称__
nickname,昵称,昵称___
nickName,昵称,昵称_
max_retries,最大重试次数,最大重试次数_
max_retry_times,最大重试次数,最大重试次数__
max_length,最大长度,最大长度__
maxLength,最大长度,最大长度_
FRIENDS,朋友,朋友_列表
friend,朋友,朋友_
bot,机器人,机器人_
Bot,机器人,机器人大写
bottype,机器人类型,机器人类型__
bot_type,机器人类型,机器人类型_
slot,槽位,槽位
slots,槽位,槽位_复数
mode,模式,模式_
pattern,模式,模式_
message,消息,消息
messages,消息,多条消息
msg,消息,msg_消息
msgId,消息ID,消息ID__
message_id,消息ID,消息ID_
msg_id,消息ID,MsgID_
ctype,消息类型,内容类型_
msgType,消息类型,消息类别
msg_type,消息类型,消息类型
status,状态,状态_
state,状态,状态
userName,用户名,用户_名
username,用户名,用户名字
login_info,登录信息,登录信息__
loginInfo,登录信息,登录信息_
baidu_wenxin_session,百度文心会话,百度文心会话
BaiduWenxinSession,百度文心会话,百度文心会话大写
BaiduVoice,百度语音,百度_语音
baidu_voice,百度语音,baidu_语音
DIR,目录,目录_
directory,目录,目录__
signature,签名,签名_
sign,签名,签名
admin_user,管理员用户,管理员用户
admin_users,管理员用户,管理员用户_列表
type,类型,类型
btype,类型,类型_机器人
idx,索引,索引值
index,索引,索引
Index,索引,索引_
end,结束,结束__
End,结束,结束_
end_time,结束时间,结束时间_
endtime,结束时间,结束时间__
